pair_id,smiles,formula,charge,n_atoms,id_a,id_b,energy_a_eV,energy_b_eV,deltaE_eV,rmsd_angstrom,xyz_file
pair_000,C=CO/C=C/[O-],C4H5O2,-1,11,10,13,-42.735844,-42.745392,-0.009548,0.2864,xyz/pair_000.xyz
pair_001,C=C([O-])COC,C4H7O2,-1,13,0,7,-46.862488,-46.866432,-0.003944,0.2100,xyz/pair_001.xyz
pair_002,CCC(=O)[O-],C3H5O2,-1,10,0,1,-39.024658,-39.048981,-0.024323,0.2960,xyz/pair_002.xyz
pair_003,C=C([O-])CC=O,C4H5O2,-1,11,2,4,-43.473518,-43.487213,-0.013695,0.2435,xyz/pair_003.xyz
pair_004,O=CCC(O)O,C3H6O3,0,12,4,0,-43.237431,-43.268620,-0.031189,0.2516,xyz/pair_004.xyz
pair_005,O=C(CO)O[C@@H]1[CH-]O1,C4H5O4,-1,13,8,14,-48.702396,-48.692318,0.010078,0.2193,xyz/pair_005.xyz
pair_006,CC(=O)[O-],C2H3O2,-1,7,0,1,-28.756737,-28.776814,-0.020077,0.2088,xyz/pair_006.xyz
pair_007,C=C([O-])C(=O)C(=O)OC=O,C5H3O5,-1,13,2,0,-54.357239,-54.327030,0.030209,0.2671,xyz/pair_007.xyz
pair_008,O=C1C[C@H](/C([O-])=C/O)O1,C5H5O4,-1,14,2,0,-54.664764,-54.652515,0.012249,0.2263,xyz/pair_008.xyz
pair_009,O=CC([O-])(C=O)C(=O)O,C4H3O5,-1,12,4,0,-49.765873,-49.735798,0.030075,0.2929,xyz/pair_009.xyz
pair_010,[O-]/C=C\[C@@H]1CO1,C4H5O2,-1,11,1,0,-42.821510,-42.783882,0.037628,0.2453,xyz/pair_010.xyz
pair_011,O=CO[C@@]1(O)C[C@@H]1O,C4H6O4,0,14,4,3,-50.663609,-50.672226,-0.008617,0.2205,xyz/pair_011.xyz
pair_012,O[C@@H]1CCO[C@H]1O,C4H8O3,0,15,0,1,-51.808231,-51.743355,0.064876,0.2770,xyz/pair_012.xyz
