pair_id,smiles,formula,charge,n_atoms,fmax_a_eVA,fmax_b_eVA,fire_steps_a,fire_steps_b,drift_a_seed_to_relaxed,drift_b_seed_to_relaxed,rmsd_seed_pair,rmsd_relaxed_pair,xyz_file
pair_000,C=C([O-])CC=O,C4H5O2,-1,11,0.0179,0.0199,142,96,0.1255,0.0569,0.2435,0.1436,xyz/pair_000.xyz
pair_001,O=C(CO)O[C@@H]1[CH-]O1,C4H5O4,-1,13,0.0185,0.0196,77,69,0.1204,0.1145,0.2193,0.2291,xyz/pair_001.xyz
pair_002,C=C([O-])C(=O)C(=O)OC=O,C5H3O5,-1,13,0.0169,0.0193,45,58,0.0463,0.0550,0.2671,0.2511,xyz/pair_002.xyz
pair_003,O=C1C[C@H](/C([O-])=C/O)O1,C5H5O4,-1,14,0.0186,0.0199,59,93,0.0351,0.0639,0.2263,0.1876,xyz/pair_003.xyz
pair_004,O=CO[C@@]1(O)C[C@@H]1O,C4H6O4,0,14,0.0006,0.0041,0,0,0.0000,0.0000,0.2205,0.2205,xyz/pair_004.xyz
pair_005,O=CC(=O)O[C@@H]1CO1,C4H4O4,0,12,0.0026,0.0029,0,0,0.0000,0.0000,0.2033,0.2033,xyz/pair_005.xyz
pair_006,C=CCC(=O)[O-],C4H5O2,-1,11,0.1882,0.0770,300,300,0.5272,0.4982,0.2144,0.1133,xyz/pair_006.xyz
pair_007,C/C([O-])=C\C=O,C4H5O2,-1,11,0.0182,0.0183,37,37,0.0244,0.0241,0.2799,0.2755,xyz/pair_007.xyz
pair_008,[O-][C@@H](O)C/C=C/O,C4H7O3,-1,14,0.0199,0.0188,272,239,0.5462,0.4846,0.2761,0.2071,xyz/pair_008.xyz
pair_009,O=CO/C([O-])=C(/O)C=O,C4H3O5,-1,12,0.0180,0.0198,55,55,0.0530,0.0527,0.2308,0.2224,xyz/pair_009.xyz
pair_010,O=COCC[O-],C3H5O3,-1,11,0.0184,0.0167,45,40,0.0337,0.0359,0.2010,0.2046,xyz/pair_010.xyz
pair_011,C=C(O)/C=C/[O-],C4H5O2,-1,11,0.0189,0.0142,50,56,0.0660,0.0631,0.2476,0.2120,xyz/pair_011.xyz
pair_012,O=C/C=C([O-])/C=C/O,C5H5O3,-1,13,0.0130,0.0170,52,48,0.0359,0.0347,0.2377,0.2246,xyz/pair_012.xyz
pair_013,O=CC(C=O)[C-]1CO1,C5H5O3,-1,13,0.0285,0.0532,300,300,0.6943,0.5832,0.2005,0.2788,xyz/pair_013.xyz
pair_014,C=COC[C@H]([O-])O,C4H7O3,-1,14,0.0186,0.0196,40,40,0.0420,0.0386,0.2740,0.2644,xyz/pair_014.xyz
pair_015,O=CC/C=C(/[O-])C=O,C5H5O3,-1,13,0.0193,0.0198,73,72,0.0561,0.0548,0.2194,0.2148,xyz/pair_015.xyz
pair_016,C=CC(=O)C(=O)[O-],C4H3O3,-1,10,0.0196,0.0196,116,68,0.1128,0.0693,0.2516,0.2354,xyz/pair_016.xyz
pair_017,C=C(O)/C(C=O)=C\[O-],C5H5O3,-1,13,0.0189,0.0181,44,39,0.0438,0.0447,0.2261,0.2262,xyz/pair_017.xyz
pair_018,C=C/[O+]=[C-]\OC=O,C4H4O3,0,11,0.0090,0.0084,0,0,0.0000,0.0000,0.2177,0.2177,xyz/pair_018.xyz
pair_019,[O-]/C=C/C=C\O,C4H5O2,-1,11,0.0166,0.0153,51,42,0.0411,0.0349,0.2422,0.2389,xyz/pair_019.xyz
pair_020,O=CO/[C-]=C/O,C3H3O3,-1,9,0.0196,0.0193,51,52,0.0379,0.0475,0.2853,0.2693,xyz/pair_020.xyz
pair_021,OC/C=C1/[CH-]O1,C4H5O2,-1,11,0.0198,0.0191,126,135,0.1731,0.1539,0.2897,0.2597,xyz/pair_021.xyz
pair_022,O=CC/C=C\[O-],C4H5O2,-1,11,0.0141,0.0182,49,46,0.0473,0.0480,0.2635,0.2610,xyz/pair_022.xyz
pair_023,CO/C([O-])=C/OCO,C4H7O4,-1,15,0.0200,0.0175,143,79,0.3141,0.1788,0.2461,0.1529,xyz/pair_023.xyz
pair_024,COCC=C=O,C4H6O2,0,12,0.0052,0.0027,0,0,0.0000,0.0000,0.2441,0.2441,xyz/pair_024.xyz
pair_025,O=C/C([O-])=C1/CO1,C4H3O3,-1,10,0.0200,0.0189,147,48,0.1264,0.0587,0.2401,0.1333,xyz/pair_025.xyz
pair_026,O[C@H]1C=C[C@@H]1O,C4H6O2,0,12,0.0051,0.0067,0,0,0.0000,0.0000,0.2515,0.2898,xyz/pair_026.xyz
pair_027,O=C([O-])C(=O)[C@@]1(O)CO1,C4H3O5,-1,12,0.0200,0.0200,124,199,0.1002,0.1472,0.2088,0.2905,xyz/pair_027.xyz
pair_028,O=CC1=C([O-])C[C@H]1O,C5H5O3,-1,13,0.0194,0.0190,51,51,0.0178,0.0343,0.2885,0.2980,xyz/pair_028.xyz
pair_029,C[C@H]1O[C@H]1OC(=O)[O-],C4H5O4,-1,13,0.0200,0.0196,272,237,0.4656,0.4628,0.2654,0.2809,xyz/pair_029.xyz
pair_030,C[CH-]OC=O,C3H5O2,-1,10,0.0221,0.3130,300,300,0.4652,0.3366,0.2562,0.1674,xyz/pair_030.xyz
pair_031,O=C/C(O)=C(O)/C=C/[O-],C5H5O4,-1,14,0.0196,0.0175,98,68,0.0918,0.0918,0.2966,0.1620,xyz/pair_031.xyz
