formula,smiles,nC,nH,nO,on_wikidata,wikidata_name,wikidata_id
H2,[H][H],0,2,0,True,dihydrogen,Q3027893
H2,[HH],0,2,0,True,tritium hydride,Q27109978
H2,[HH],0,2,0,True,ditritium,Q54973755
H2,[HH],0,2,0,True,diprotium,Q121336432
H2,[HH],0,2,0,True,tritium deuteride,Q121336691
H2O,O,0,2,1,True,water O-15,Q27263630
H2O,(no SMILES),0,2,1,True,ice,Q23392
H2O,(no SMILES),0,2,1,True,ice,Q19614624
H2O,[1H]O[1H],0,2,1,True,diprotium oxide,Q106010185
H2O,[3H]O,0,2,1,True,hydrogen tritium oxide,Q106010186
O2,O=O,0,0,2,True,oxygen O-17,Q27261150
O2,[O+]#[O+],0,0,2,True,dioxygen(2+),Q27110032
O2,[18O]=[18O],0,0,2,True,Oxygen-18O2,Q82253542
H2O2,OO,0,2,2,True,hydrogen peroxide,Q171877
H2O2,(no SMILES),0,2,2,True,oxywater,Q110143786
H2O2,[2H]OO,0,2,2,True,monodeuterated hydrogen peroxide,Q136784537
O3,o1oo1,0,0,3,True,cyclic ozone,Q3359226
O3,O=[O+][O-],0,0,3,True,ozone,Q36933
H2O3,OOO,0,2,3,True,trioxidane,Q417642
H2O3,O.O=O,0,2,3,True,"Superoxide, hydrate",Q83077593
O4,O1OOO1,0,0,4,False,,
O4,(no SMILES),0,0,4,True,tetraoxygen,Q457709
O4,(no SMILES),0,0,4,True,tetroxygen,Q115943680
H2O4,OOOO,0,2,4,True,tetraoxidane,Q25535872
H2O4,O.O=[O+][O-],0,2,4,True,Trioxid-2-en-2-ium-1-ide--water (1/1),Q82821026
CH4,CC(C)(C)C,1,4,0,False,,
CH4,C,1,4,0,True,methane,Q37129
CH4,[2H]C([2H])([2H])[2H],1,4,0,True,(2H4)methane,Q1216189
CH4,[2H]C,1,4,0,True,METHANE-D1,Q82003872
CH4,[2H]C[2H],1,4,0,True,Methane-d2,Q82264899
CH4,[2H]C([2H])[2H],1,4,0,True,Methane-d3,Q82269049
CH4,[2H][13C]([2H])([2H])[2H],1,4,0,True,"Methane-13C,d4",Q82317947
CH4,[CH],1,4,0,True,hydridocarbon(3.),Q114819707
CO,C=O,1,0,1,True,formaldehyde,Q161210
CO,[C-]#[O+],1,0,1,True,carbon monoxide,Q2025
CO,[C-]#[O+],1,0,1,True,carbon monoxide c-11,Q27236288
CO,[C-]#[O+],1,0,1,True,O-15carbon monoxide,Q27265534
CO,[13C-]#[O+],1,0,1,True,Carbon-13C monoxide,Q82244372
CH2O,C=O,1,2,1,True,formaldehyde,Q161210
CH2O,[2H]C([2H])=O,1,2,1,True,(2H)Formaldehyde,Q83037604
CH2O,[2H]C=O,1,2,1,True,"Methyl-d1 radical, oxo-",Q83049538
CH2O,[14CH2]=O,1,2,1,True,Formaldehyde-(14)C,Q83055447
CH4O,CO,1,4,1,True,methanol,Q14982
CH4O,C[18OH],1,4,1,True,Methanol-18O,Q82314904
CH4O,[2H]OC,1,4,1,True,Methan(²H)ol,Q82908334
CH4O,[13CH3]O,1,4,1,True,(¹³C)Methanol,Q82908924
CH4O,[14CH3]O,1,4,1,True,(¹⁴C)Methanol,Q82931475
CH4O,[2H]O[CH2],1,4,1,True,(²H)Hydroxymethyl,Q82958130
CH4O,[2H]OC([2H])[2H],1,4,1,True,(²H₂)Methan(²H)ol,Q82976674
CH4O,[2H][C]([2H])O,1,4,1,True,Hydroxy(²H₂)methyl,Q82994523
CH4O,[2H]C([2H])([2H])O,1,4,1,True,(2H3)Methanol,Q83041789
CH4O,[CH2]O,1,4,1,True,Hydroxymethyl radical,Q83051206
CH4O,[2H]C([2H])([2H])[O],1,4,1,True,Methoxy-d3 radical,Q83101314
CO2,O=C=O,1,0,2,True,carbon dioxide,Q1997
CO2,(no SMILES),1,0,2,True,Amorphous carbonia,Q3658298
CO2,O=[13C]=O,1,0,2,True,Carbon-13C dioxide,Q82251045
CO2,[17O]=C=[17O],1,0,2,True,Methane(¹⁷O₂)dione,Q82346669
CO2,O=[14C]=O,1,0,2,True,(¹⁴C)Methanedione,Q82947469
CH2O2,C1OO1,1,2,2,True,dioxirane,Q905942
CH2O2,O=CO,1,2,2,True,formic acid,Q161233
CH2O2,O[C]O,1,2,2,True,dihydroxymethylidene,Q332879
CH2O2,O=[13CH]O,1,2,2,True,Formic acid-13C,Q82277731
CH2O2,O.[C-]#[O+],1,2,2,True,PUBCHEM_71441937,Q82844214
CH2O2,[2H]OC([2H])=O,1,2,2,True,(2H)Formic (2)acid,Q83121160
CH2O2,[2H]OC=O,1,2,2,True,Formic (2H)acid,Q83121361
CH4O2,COO,1,4,2,True,methyl hydroperoxide,Q83055323
CH4O2,OCO,1,4,2,True,methanediol,Q2365760
CH4O2,C=O.O,1,4,2,True,Formaldehyde--water (1/1),Q82526794
CO3,O=C1OO1,1,0,3,True,Dioxiran-3-one,Q82496260
CO3,(no SMILES),1,0,3,True,carbon trioxide,Q423705
CH2O3,C1OOO1,1,2,3,False,,
CH2O3,O=C(O)O,1,2,3,True,carbonic acid,Q104334
CH2O3,O=COO,1,2,3,True,Performic acid,Q3269240
CH2O3,OC1OO1,1,2,3,False,,
CH2O3,O.O=C=O,1,2,3,True,Methanedione--water (1/1),Q82525355
CH4O3,COOO,1,4,3,False,,
CH4O3,OC(O)O,1,4,3,True,orthoformic acid,Q2823293
CH4O3,OCOO,1,4,3,True,"Methanol, hydroperoxy-",Q83035822
CH4O3,O.O=CO,1,4,3,True,Formic acid--water (1/1),Q82490490
CH4O3,C=O.OO,1,4,3,True,"Formaldehyde, mixt. with hydrogen peroxide",Q83111227
CO4,O1OC12OO2,1,0,4,False,,
CO4,O=c1ooo1,1,0,4,True,carbon tetroxide,Q1086826
CH2O4,C1OOOO1,1,2,4,True,Tetroxolane,Q82774742
CH2O4,O=C(O)OO,1,2,4,True,carbonoperoxoic acid,Q126600973
CH2O4,O=COOO,1,2,4,False,,
CH2O4,OC1(O)OO1,1,2,4,False,,
CH2O4,OC1OOO1,1,2,4,False,,
CH2O4,OOC1OO1,1,2,4,False,,
CH4O4,COOOO,1,4,4,False,,
CH4O4,OC(O)(O)O,1,4,4,True,orthocarbonic acid,Q2491625
CH4O4,OCOOO,1,4,4,False,,
CH4O4,OOC(O)O,1,4,4,False,,
CH4O4,OOCOO,1,4,4,False,,
CH4O4,O.O=C(O)O,1,4,4,True,Carbonic acid--water (1/1),Q82524802
C2,CC,2,0,0,True,ethane,Q52858
C2,[C+]#[C-],2,0,0,True,dicarbon,Q866218
C2H2,C#C,2,2,0,True,acetylene,Q133145
C2H2,C=C,2,2,0,True,ethylene,Q151313
C2H2,[C]=C,2,2,0,True,methylidenecarbene,Q17146049
