formula,nC,nH,nO,wikidata_id,wikidata_name,smiles,canon_smiles,inchi,cas,sitelinks,on_enwiki,enwiki_title
C,1,0,0,Q623,carbon,[C],[C],InChI=1S/C,7440-44-0,214,True,Carbon
CH,1,1,0,Q3333711,methylidyne radical,[CH],[CH],InChI=1S/CH/h1H,3315-37-5,14,True,Methylidyne radical
CH2,1,2,0,Q11172462,methylene,[CH2],[CH2],InChI=1S/CH2/h1H2,2465-56-7,16,True,Methylene (compound)
CO,1,0,1,Q2025,carbon monoxide,[C-]#[O+],[C-]#[O+],InChI=1S/CO/c1-2,630-08-0,107,True,Carbon monoxide
CHO,1,1,1,Q27110014,oxomethyl,[CH]=O,[CH]=O,InChI=1S/CHO/c1-2/h1H,2597-44-6,0,False,
CH2O,1,2,1,Q161210,formaldehyde,C=O,C=O,InChI=1S/CH2O/c1-2/h1H2,50-00-0,73,True,Formaldehyde
C2,2,0,0,Q866218,dicarbon,[C-]#[C+],[C+]#[C-],InChI=1S/C2/c1-2,12070-15-4,16,True,Diatomic carbon
C2H,2,1,0,Q3591986,ethynyl radical,C#[C],[C]#C,InChI=1S/C2H/c1-2/h1H,2122-48-7,8,True,Ethynyl radical
C2H2,2,2,0,Q133145,acetylene,C#C,C#C,InChI=1S/C2H2/c1-2/h1-2H,74-86-2,76,True,Acetylene
C2H2,2,2,0,Q17146049,methylidenecarbene,[C]=C,[C]=C,InChI=1S/C2H2/c1-2/h1H2,,3,True,Methylidenecarbene
C2H3,2,3,0,Q27286698,ethenyl,C=[CH],[CH]=C,"InChI=1S/C2H3/c1-2/h1H,2H2",2669-89-8,0,False,
C2H4,2,4,0,Q151313,ethylene,C=C,C=C,InChI=1S/C2H4/c1-2/h1-2H2,74-85-1,78,True,Ethylene
C2H4,2,4,0,Q133523535,Ethylidene,[CH]C,[CH]C,"InChI=1S/C2H4/c1-2/h1H,2H3",4218-50-2,0,False,
C2O,2,0,1,Q2741198,Dicarbon monoxide,[C+]#C[O-],[C+]#C[O-],InChI=1S/C2O/c1-2-3,119754-08-4,22,True,Dicarbon monoxide
C2H2O,2,2,1,Q421032,ketene,C=C=O,C=C=O,InChI=1S/C2H2O/c1-2-3/h1H2,463-51-4,26,True,Ethenone
C2H2O,2,2,1,Q964273,oxirene,C1=CO1,C1=CO1,InChI=1S/C2H2O/c1-2-3-1/h1-2H,157-18-6,20,True,Oxirene
C2H2O,2,2,1,Q1876754,ethynol,C#CO,C#CO,"InChI=1S/C2H2O/c1-2-3/h1,3H",32038-79-2,17,True,Ethynol
C2H3O,2,3,1,Q27120718,formylmethyl,C=C[O],C=C[O],"InChI=1S/C2H3O/c1-2-3/h2H,1H2",4400-01-5,0,False,
C2H3O,2,3,1,Q57695648,acetyl radical,C[C]=O,C[C]=O,InChI=1S/C2H3O/c1-2-3/h1H3,3170-69-2,0,False,
C2H4O,2,4,1,Q61457,acetaldehyde,CC=O,CC=O,"InChI=1S/C2H4O/c1-2-3/h2H,1H3",75-07-0,62,True,Acetaldehyde
C2H4O,2,4,1,Q407473,ethylene oxide,C1CO1,C1CO1,InChI=1S/C2H4O/c1-2-3-1/h1-2H2,75-21-8,49,True,Ethylene oxide
C2H4O,2,4,1,Q409591,vinyl alcohol,C=CO,C=CO,"InChI=1S/C2H4O/c1-2-3/h2-3H,1H2",557-75-5,36,True,Vinyl alcohol
C2O2,2,0,2,Q3120751,ethylene dione,C(=C=O)=O,O=C=C=O,InChI=1S/C2O2/c3-1-2-4,4363-38-6,16,True,Ethylene dione
C2O2,2,0,2,Q82642538,"2,4-Dioxabicyclo[1.1.0]but-1(3)-ene",C12=C(O1)O2,o1c2oc1=2,InChI=1S/C2O2/c3-1-2(3)4-1,175722-50-6,0,False,
C2H2O2,2,2,2,Q413465,glyoxal,C(=O)C=O,O=CC=O,InChI=1S/C2H2O2/c3-1-2-4/h1-2H,107-22-2,36,True,Glyoxal
C2H2O2,2,2,2,Q2758601,acetylenediol,C(#CO)O,OC#CO,InChI=1S/C2H2O2/c3-1-2-4/h3-4H,16005-17-7,17,True,Acetylenediol
C2H2O2,2,2,2,Q416613,acetolactone,C1C(=O)O1,O=C1CO1,InChI=1S/C2H2O2/c3-2-1-4-2/h1H2,42879-41-4,14,True,Acetolactone
C2H2O2,2,2,2,Q9207633,dioxetene,C1=COO1,c1coo1,InChI=1S/C2H2O2/c1-2-4-3-1/h1-2H,,1,False,
C2H2O2,2,2,2,Q82491425,"2,4-Dioxabicyclo[1.1.0]butane",C12C(O1)O2,O1C2OC12,InChI=1S/C2H2O2/c3-1-2(3)4-1/h1-2H,110175-40-1,0,False,
C2H4O2,2,4,2,Q47512,acetic acid,CC(=O)O,CC(=O)O,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",64-19-7,95,True,Acetic acid
C2H4O2,2,4,2,Q422779,methyl formate,COC=O,COC=O,"InChI=1S/C2H4O2/c1-4-2-3/h2H,1H3",107-31-3,34,True,Methyl formate
C2H4O2,2,4,2,Q899877,glycolaldehyde,C(C=O)O,O=CCO,"InChI=1S/C2H4O2/c3-1-2-4/h1,4H,2H2",141-46-8,30,True,Glycolaldehyde
C2H4O2,2,4,2,Q639718,"1,3-dioxetane",C1OCO1,C1OCO1,InChI=1S/C2H4O2/c1-3-2-4-1/h1-2H2,287-50-3,17,True,"1,3-Dioxetane"
C2H4O2,2,4,2,Q2279782,"1,2-dioxetane",C1COO1,C1COO1,InChI=1S/C2H4O2/c1-2-4-3-1/h1-2H2,6788-84-7,15,True,"1,2-Dioxetane"
C2H4O2,2,4,2,Q55600327,"1,1-dihydroxyethene",C=C(O)O,C=C(O)O,"InChI=1S/C2H4O2/c1-2(3)4/h3-4H,1H2",10375-04-9,3,True,"1,1-Dihydroxyethene"
C2H4O2,2,4,2,Q55622903,methyldioxirane,CC1OO1,CC1OO1,"InChI=1S/C2H4O2/c1-2-3-4-2/h2H,1H3",70308-85-9,3,True,Methyldioxirane
C2H4O2,2,4,2,Q21099157,"1,2-ethenediol",C(=CO)O,OC=CO,InChI=1S/C2H4O2/c3-1-2-4/h1-4H,1571-60-4,2,False,
C2H4O2,2,4,2,Q28976024,oxiranol,C1OC1O,OC1CO1,"InChI=1S/C2H4O2/c3-2-1-4-2/h2-3H,1H2",,2,True,Oxiranol
C2H4O2,2,4,2,Q72466650,"(Z)-1,2-Dihydroxyethene",O/C=C\O,O/C=C\O,InChI=1S/C2H4O2/c3-1-2-4/h1-4H/b2-1-,65144-74-3,0,False,
C2H4O2,2,4,2,Q76149899,"(E)-ethene-1,2-diol",O/C=C/O,O/C=C/O,InChI=1S/C2H4O2/c3-1-2-4/h1-4H/b2-1+,,0,False,
C2H4O2,2,4,2,Q82496075,Etheneperoxol,C=COO,C=COO,"InChI=1S/C2H4O2/c1-2-4-3/h2-3H,1H2",66998-78-5,0,False,
C3,3,0,0,Q866582,tricarbon,[C-]#C[C+],[C+]C#[C-],InChI=1S/C3/c1-3-2,12075-35-3,11,True,Tricarbon
C3,3,0,0,Q866198,cyclopropatriene,C=1=C=C1,C1=C=C=1,InChI=1S/C3/c1-2-3-1,,8,True,Cyclopropatriene
C3H2,3,2,0,Q3008567,cyclopropenylidene,C1=C[C]1,[C]1C=C1,InChI=1S/C3H2/c1-2-3-1/h1-2H,16165-40-5,12,True,Cyclopropenylidene
C3H2,3,2,0,Q3407495,propadienylidene,[C]=C=C,[C]=C=C,InChI=1S/C3H2/c1-3-2/h1H2,60731-10-4,3,False,
C3H2,3,2,0,Q82487583,cyclopropyne,C1C#C1,C1#CC1,InChI=1S/C3H2/c1-2-3-1/h1H2,60701-63-5,2,True,Cyclopropyne
C3H2,3,2,0,Q127257435,2-propyn-1-ylidene,[CH]C#C,[CH]C#C,InChI=1S/C3H2/c1-3-2/h1-2H,2008-19-7,0,False,
