pair_id,smiles,formula,charge,n_atoms,id_a,id_b,energy_a_eV,energy_b_eV,deltaE_eV,rmsd_angstrom,xyz_file
pair_000,C[C@H]1O[C@@H](O)C1=O,C4H6O3,0,13,1,0,-47.727413,-47.736256,-0.008843,0.4396,xyz/pair_000.xyz
pair_001,CC(C)C(=O)O,C4H8O2,0,14,0,1,-49.297054,-49.198639,0.098415,0.4189,xyz/pair_001.xyz
pair_002,CO[C@H]1CCO1,C4H8O2,0,14,0,2,-48.168076,-48.205181,-0.037105,0.4172,xyz/pair_002.xyz
pair_003,O=CC/C=C\O,C4H6O2,0,12,0,3,-44.578705,-44.596287,-0.017582,0.4349,xyz/pair_003.xyz
pair_004,COc1c(O)c1=O,C4H4O3,0,11,1,0,-42.941368,-42.848198,0.093170,0.4437,xyz/pair_004.xyz
pair_005,O=C[C@@H]1C=C(O)[C@@H]1O,C5H6O3,0,14,1,0,-51.999733,-51.990032,0.009701,0.3946,xyz/pair_005.xyz
pair_006,CC1(O)OCOCO1,C4H8O4,0,16,3,1,-54.622021,-54.681469,-0.059448,0.4323,xyz/pair_006.xyz
pair_007,O=C(O)[C@@]1(O)C=C1O,C4H4O4,0,12,1,0,-46.592930,-46.600697,-0.007767,0.4071,xyz/pair_007.xyz
pair_008,C/C(=C\C=O)OO,C4H6O3,0,13,4,3,-46.349594,-46.344181,0.005413,0.3553,xyz/pair_008.xyz
pair_009,O/C=C/O[C@]1(O)C[C@@H]1O,C5H8O4,0,17,0,1,-57.668549,-57.655125,0.013424,0.3794,xyz/pair_009.xyz
pair_010,C[C@]1(O)CO[C@H]1O,C4H8O3,0,15,0,2,-51.481709,-51.448650,0.033059,0.4226,xyz/pair_010.xyz
pair_011,O=CO[C@H]1C[C@H](O)O1,C4H6O4,0,14,2,3,-51.030209,-51.023640,0.006569,0.3510,xyz/pair_011.xyz
pair_012,O=C1C[C@H](O)O1,C3H4O3,0,10,0,1,-39.247391,-39.235149,0.012242,0.4309,xyz/pair_012.xyz
pair_013,C=C(O)[C@H]1CC1=O,C5H6O2,0,13,2,1,-48.614918,-48.636215,-0.021297,0.4456,xyz/pair_013.xyz
pair_014,O=COC(=O)/C=C/O,C4H4O4,0,12,7,4,-47.835991,-47.864861,-0.028870,0.4344,xyz/pair_014.xyz
pair_015,C[C@@H](O)[C@@H](C)O,C4H10O2,0,16,3,2,-52.330784,-52.307983,0.022801,0.4437,xyz/pair_015.xyz
pair_016,COC1COOC1,C4H8O3,0,15,1,4,-50.078278,-50.061314,0.016964,0.3508,xyz/pair_016.xyz
pair_017,C[C@]1(O)O/C1=C\C=O,C5H6O3,0,14,1,0,-51.961754,-51.985756,-0.024002,0.4179,xyz/pair_017.xyz
pair_018,O=C1O[C@H]2C=C(O)O[C@@H]12,C5H4O4,0,13,0,1,-52.048187,-52.078205,-0.030018,0.4143,xyz/pair_018.xyz
pair_019,O=C(/C=C/O)CO,C4H6O3,0,13,1,5,-48.003723,-47.983997,0.019726,0.4294,xyz/pair_019.xyz
pair_020,O=COC1=C[C@@H]1O,C4H4O3,0,11,3,5,-42.863316,-42.851944,0.011372,0.3777,xyz/pair_020.xyz
pair_021,OC1=CC[C@H]1O,C4H6O2,0,12,2,1,-44.176224,-44.206310,-0.030086,0.3552,xyz/pair_021.xyz
pair_022,OC1=C[C@H](O)OCO1,C4H6O4,0,14,2,3,-51.186089,-51.173355,0.012734,0.4126,xyz/pair_022.xyz
pair_023,CCCC=O,C4H8O,0,13,2,3,-45.558926,-45.607075,-0.048149,0.4069,xyz/pair_023.xyz
pair_024,O=C(O)[C@@H]1C=C[C@H]1O,C5H6O3,0,14,0,1,-52.321190,-52.325157,-0.003967,0.3806,xyz/pair_024.xyz
pair_025,CC=C=O,C3H4O,0,8,1,0,-31.319397,-31.307476,0.011921,0.3085,xyz/pair_025.xyz
pair_026,CC(=O)/C=C1\O[C@@H]1O,C5H6O3,0,14,3,2,-51.971081,-51.952679,0.018402,0.4153,xyz/pair_026.xyz
pair_027,C=C(OC)[C@@H](C)O,C5H10O2,0,17,4,3,-56.121555,-56.116535,0.005020,0.4197,xyz/pair_027.xyz
pair_028,C=C(O)O[C@@H](C)O,C4H8O3,0,15,1,0,-51.608902,-51.643749,-0.034847,0.4108,xyz/pair_028.xyz
pair_029,O=C[C@@H]1C[C@H]1C(=O)O,C5H6O3,0,14,0,2,-52.681469,-52.777660,-0.096191,0.4253,xyz/pair_029.xyz
pair_030,COC(=O)C(C)=O,C4H6O3,0,13,0,3,-48.191746,-48.199844,-0.008098,0.4161,xyz/pair_030.xyz
pair_031,O/C=C/C(O)=C\O,C4H6O3,0,13,0,1,-47.484489,-47.465038,0.019451,0.4295,xyz/pair_031.xyz
pair_032,C=C(O)O/C=C/O,C4H6O3,0,13,4,8,-47.404713,-47.420036,-0.015323,0.4397,xyz/pair_032.xyz
pair_033,O=C=COCC=O,C4H4O3,0,11,0,5,-43.204456,-43.194927,0.009529,0.2148,xyz/pair_033.xyz
pair_034,O=C1O[C@H]1CO,C3H4O3,0,10,1,0,-38.330906,-38.333385,-0.002479,0.4389,xyz/pair_034.xyz
pair_035,C=C(O)O[C@H](C)O,C4H8O3,0,15,1,2,-51.569530,-51.581093,-0.011563,0.3786,xyz/pair_035.xyz
pair_036,C=C(O)C=C=CO,C5H6O2,0,13,2,0,-48.577789,-48.530258,0.047531,0.4297,xyz/pair_036.xyz
pair_037,O=CC(=O)[C@H](O)CO,C4H6O4,0,14,0,1,-50.800411,-50.783436,0.016975,0.3895,xyz/pair_037.xyz
pair_038,O[C@H]1C=C=CO1,C4H4O2,0,10,0,1,-38.578880,-38.604721,-0.025841,0.4425,xyz/pair_038.xyz
pair_039,O=CO[C@]1(O)C[C@@H]1O,C4H6O4,0,14,6,3,-50.703648,-50.670918,0.032730,0.4265,xyz/pair_039.xyz
pair_040,O=C(O)/C=C1\O[C@@H]1O,C4H4O4,0,12,4,3,-47.068802,-47.043877,0.024925,0.4227,xyz/pair_040.xyz
pair_041,[CH][C][C]C,C4H4,0,8,1,2,-30.303724,-30.261259,0.042465,0.2477,xyz/pair_041.xyz
pair_042,C[C@@]1(O)O[C@H]1CO,C4H8O3,0,15,2,0,-51.301132,-51.304478,-0.003346,0.3777,xyz/pair_042.xyz
pair_043,OCO[C@H]1CCO1,C4H8O3,0,15,3,0,-51.292023,-51.265987,0.026036,0.4434,xyz/pair_043.xyz
pair_044,O=CC1=C(O)C[C@@H]1O,C5H6O3,0,14,3,4,-52.162086,-52.179745,-0.017659,0.3866,xyz/pair_044.xyz
pair_045,C[C@@H](C=O)C(=O)O,C4H6O3,0,13,0,2,-48.585205,-48.503178,0.082027,0.4381,xyz/pair_045.xyz
